Actinomadura madurae;2;;
Actinomadura pelletieri;2;;
Actinomyces gerencseriae;2;;
Actinomyces israelii;2;;
Actinomyces spp.;2;;
Aggregatibacter actinomycetemcomitans;2;;
Actinobacillus actinomycetemcomitans;2;;
Anaplasma spp.;2;;
Arcanobacterium haemolyticum;2;;
Corynebacterium haenolyticum;2;;
Arcobacter butzleri;2;;
Bacillus anthracis;3;T;
Bacteroides fragilis;2;;
Bacteroides spp.;2;;
Bartonella bacilliformis;2;;
Bartonella quintana;2;;
Rochalimaea quintana;2;;
Bartonella spp.;2;;
Rochalimaea spp.;2;;
Bordetella bronchiseptica;2;;
Bordetella parapertussis;2;;
Bordetella pertussis;2;T, V;
Bordetella spp.;2;;
Borrelia burgdorferi;2;;
Borrelia duttonii;2;;
Borrelia recurrentis;2;;
Borrelia spp.;2;;
Brachyspira spp.;2;;
Brucella abortus;3;;
Brucella canis;3;;
Brucella inopinata;3;;
Brucella melitensis;3;;
Brucella suis;3;;
Burkholderia cepacia;2;;
Burkholderia mallei;3;;
Pseudomonas mallei;3;;
Burkholderia pseudomallei;3;D;
Pseudomonas pseudomallei;3;;
Campylobacter fetus subsp. fetus;2;;
Campylobacter fetus subsp. venerealis;2;;
Campylobacter jejuni subsp. doylei;2;;
Campylobacter jejuni subsp. jejuni;2;;
Campylobacter spp.;2;;
Cardiobacterium hominis;2;;
Cardiobacterium valvarum;2;;
Chlamydia abortus;2;;
Chlamydophila abortus;2;;
Chlamydia caviae;2;;
Chlamydophila caviae;2;;
Chlamydia felis;2;;
Chlamydophila felis;2;;
Chlamydia pneumoniae;2;;
Chlamydophila pneumoniae;2;;
Chlamydia psittaci;3;;souches aviaires
Chlamydophila psittaci;3;;souches aviaires
Chlamydia psittaci;2;;souches aviaires
Chlamydophila psittaci;2;;souches aviaires
Chlamydia trachomatis;2;;
Chlamydophila trachomatis;2;;
Clostridium botulinum;2;T;
Clostridium difficile;2;T;
Clostridium perfringens;2;T;
Clostridium tetani;2;T, V;
Clostridium spp.;2;;
Corynebacterium diphtheriae;2;T, V;
Corynebacterium minutissimum;2;;
Corynebacterium pseudotuberculosis;2;T;
Corynebacterium ulcerans;2;T;
Corynebacterium spp.;2;;
Coxiella burnetii;3;;
Edwardsiella tarda;2;;
Ehrlichia spp.;2;;
Eikenella corrodens;2;;
Elizabethkingia meningoseptica;2;;
Flavobacterium meningosepticum;2;;
Enterobacter aerogenes;2;;
Klebsiella mobilis;2;;
Enterobacter cloacae subsp. Cloacae;2;;
Enterobacter cloacae;2;;
Enterobacter spp.;2;;
Enterococcus spp.;2;;
Erysipelothrix rhusiopathiae;2;;
Escherichia coli;2;;à lexception des souches non pathogènes
Escherichia coli;3 (*1);T;souches cytotoxiques (par exemple O157:H7 ou O103)
Fluoribacter bozemanae;2;;
Legionella bozemanae;2;;
