"count","genus","species","subspecies"
1,"Gordonia","kroppenstedtii",""
6,"Serratia","ficaria",""
1,"Bartonella","clarridgeiae",""
1,"Thermomonas","hydrothermalis",""
1,"Paenalcaligenes","hermetiae",""
1,"Nocardia","terpenica",""
10,"Bacillus","badius",""
1,"Isoptericola","dokdonensis",""
1,"Pseudomonas","pachastrellae",""
1,"Pedobacter","westerhofensis",""
1,"Flavobacterium","frigidarium",""
1,"Bartonella","tribocorum",""
1,"Chryseobacterium","massiliae",""
1,"Nocardioides","luteus",""
1,"Jeotgalibacillus","alimentarius",""
1,"Pelomonas","saccharophila",""
5,"Leptospira","uncertain",""
1,"Idiomarina","insulisalsae",""
1,"Eudoraea","adriatica",""
1,"Brucella","haematophila",""
1,"Micromonospora","viridifaciens",""
3,"Tenacibaculum","ovolyticum",""
5,"Streptococcus","salivarius",""
1,"Acidovorax","valerianellae",""
2,"Mycobacterium","marinum",""
1,"Rothia","nasimurium",""
1,"Embleya","scabrispora",""
1,"Arcticibacter","tournemirensis",""
1,"Bifidobacterium","pullorum",""
5,"Rodentibacter","pneumotropicus",""
1,"Dokdonella","fugitiva",""
1,"Muricauda","ruestringensis",""
1,"Legionella","jordanis",""
1,"Mannheimia","varigena",""
1,"Pseudarthrobacter","chlorophenolicus",""
1,"Tatlockia","maceachernii",""
1,"Pseudomonas","jessenii",""
1,"Cellulomonas","aerilata",""
1,"Rhizobium","leguminosarum",""
20,"Bordetella","parapertussis",""
1,"Pasteurella","caballi",""
1,"Jonesia","quinghaiensis",""
1,"Flavobacterium","fluvii",""
1,"Chryseobacterium","rhizoplanae",""
1,"Leptospira","gomenensis",""
1,"Moraxella","boevrei",""
1,"Paracoccus","versutus",""
1,"Brevibacillus","formosus",""
1,"Cellulomonas","xylanilytica",""
1,"Actinocorallia","longicatena",""
1,"Psychromonas","profunda",""
1,"Mycobacteroides","abscessus","massiliense"
1,"Acinetobacter","nectaris",""
1,"Flexispira","rappini",""
1,"Smaragdicoccus","niigatensis",""
1,"Staphylococcus","argensis",""
1,"Aeromonas","fluvialis",""
2,"Pseudoramibacter","alactolyticus",""
1,"Vibrio","gazogenes",""
1,"Mycetohabitans","endofungorum",""
1,"Halomonas","variabilis",""
1,"Chitinophaga","skermanii",""
1,"Kribbella","karoonensis",""
1,"Rhodococcus","defluvii",""
1,"Erythrobacter","longus",""
1,"Actinomyces","nasicola",""
1,"Streptomyces","ardus",""
1,"Shewanella","glacialipiscicola",""
1,"Leptospira","santarosai","la"
1,"Prevotella","bryantii",""
1,"Halobacillus","profundi",""
11,"Corynebacterium","minutissimum",""
1,"Sporomusa","aerivorans",""
1,"Kribbella","antibiotica",""
1,"Winogradskyella","psychrotolerans",""
1,"Caballeronia","pedi",""
1,"Chryseobacterium","haifense",""
1,"Caballeronia","peredens",""
1,"Mycolicibacterium","novocastrense",""
1,"Bacillus","fordii",""
1,"Tenacibaculum","amylolyticum",""
2,"Latilactobacillus","curvatus",""
1,"Deinococcus","marmoris",""
1,"Vibrio","mediterranei",""
1,"Achromobacter","pulmonis",""
7,"Methylophaga","marina",""
1,"Arthrobacter","oxydans",""
1,"Mycobacterium","reunionae",""
2,"Mycoplasma","mycoides","mycoides"
1,"Mycobacterium","heidelbergense",""
1,"Halomonas","subglaciescola",""
1,"Terasakiispira","papahanaumokuakeensis",""
2,"Hymenobacter","aerophilus",""
1,"Pseudomonas","saponiphila",""
1,"Caballeronia","temeraria",""
2,"Corynebacterium","gottingense",""
1,"Corynebacterium","pelargi",""
1,"Vibrio","ezurae",""
1,"Nesterenkonia","sandarakina",""
1,"Paraburkholderia","phytofirmans",""
1,"Komagataeibacter","hansenii",""
1,"Nocardia","fusca",""
9,"Kingella","kingae",""
1,"Cryobacterium","psychrophilum",""
1,"Halomonas","janggokensis",""
1,"Prauserella","alba",""
1,"Mycobacterium","aemonae",""
1,"Bacillus","koreensis",""
1,"Maricaulis","virginensis",""
1,"Psychroflexus","tropicus",""
1,"Chryseobacterium","solincola",""
1,"Thalassococcus","halodurans",""
1,"Shewanella","aquimarina",""
2,"Enterococcus","pseudoavium",""
1,"Halobacillus","aidingensis",""
3,"Vagococcus","fluvialis",""
7,"Flavobacterium","columnare",""
1,"Salipiger","mucosus",""
4,"Ewingella","americana",""
1,"Hespellia","stercorisuis",""
1,"Nocardiopsis","rosea",""
1,"Bacillus","paramycoides",""
1,"Skermania","piniformis",""
1,"Chitinophaga","filiformis",""
1,"Rhodococcus","wratislaviensis",""
1,"Pandoraea","pnomenusa",""
3,"Streptococcus","vestibularis",""
1,"Mycobacterium","chimaera",""
1,"Caballeronia","fortuita",""
1,"Azospirillum","irakense",""
1,"Loigolactobacillus","rennini",""
1,"Lelliottia","aquatilis",""
5,"Actinomyces","urogenitalis",""
1,"Arthrobacter","monumenti",""
1,"Legionella","waltersii",""
1,"Salinibacter","ruber",""
1,"Kineococcus","xinjiangensis",""
1,"Porphyrobacter","sanguineus",""
1,"Legionella","steigerwaltii",""
1,"Sphingomonas","fennica",""
1,"Nereida","ignava",""
1,"Campylobacter","hyointestinalis","hyointestinalis"
2,"Psychrobacter","pulmonis",""
1,"Listeria","fleischmannii","coloradonensis"
1,"Comamonas","koreensis",""
1,"Dyadobacter","beijingensis",""
1,"Asanoa","ferruginea",""
1,"Paenibacillus","barengoltzii",""
1,"Planococcus","maritimus",""
1,"Nocardia","takedensis",""
1,"Paenibacillus","amylolyticus",""
6,"Streptococcus","gordonii",""
1,"Oceanospirillum","multiglobuliferum",""
1,"Lentzea","albida",""
1,"Anderseniella","baltica",""
1,"Pseudoalteromonas","prydzensis",""
6,"Actinobacillus","equuli",""
1,"Limnohabitans","planktonicus",""
1,"Pseudomonas","orientalis",""
1,"Chitinophaga","arvensicola",""
1,"Undibacterium","parvum",""
2,"Actinobacillus","rossii",""
1,"Lactobacillus","delbrueckii","delbrueckii"
1,"Auricoccus","indicus",""
1,"Mycobacterium","manteni",""
1,"Photorhabdus","laumondii","laumondii"
1,"Pseudomonas","mediterranea",""
1,"Amycolatopsis","mediterranei",""
1,"Achromobacter","spanius",""
1,"Leifsonia","xyli","cynodontis"
1,"Curtobacterium","flaccumfaciens","betae"
2,"Chryseobacterium","geocarposphaerae",""
5,"Aeromonas","enteropelogenes",""
1,"Leptospira","wolbachii",""
50,"Leptospira","santarosai",""
1,"Kurthia","gibsonii",""
1,"Mycolicibacterium","hassiacum",""
1,"Microbacterium","agarici",""
1,"Effusibacillus","pohliae",""
1,"Orrella","dioscoreae",""
1,"Streptococcus","constellatus","viborgensis"
1,"Bacillus","proteolyticus",""
1,"Flavobacterium","akiainvivens",""
1,"Elizabethkingia","endophytica",""
1,"Paraburkholderia","caribensis",""
1,"Nonomuraea","roseola",""
1,"Paenibacillus","terrigena",""
2,"Staphylococcus","gallinarum",""
1,"Sphingomonas","yanoikuyae",""
1,"Enterococcus","sulfureus",""
1,"Acinetobacter","bouvetii",""
1,"Rummeliibacillus","pycnus",""
2,"Bacillus","maroccanus",""
7,"Actinobacillus","capsulatus",""
1,"Desulfovibrio","capillatus",""
1,"Pseudomonas","syncyanea",""
1,"Mycolicibacterium","tokaiense",""
1,"Streptosporangium","sandarakinum",""
33,"Pasteurella","multocida","multocida"
1,"Polaribacter","irgensii",""
1,"Amycolatopsis","lexingtonensis",""
1,"Rarobacter","faecitabidus",""
13,"Levilactobacillus","brevis",""
1,"Corynebacterium","auris",""
1,"Mitsuaria","chitosanitabida",""
1,"Actinobaculum","lemanensis",""
1,"Neisseria","macacae",""
1,"Flavobacterium","jumunjinense",""
1,"Tsukamurella","strandjordii",""
1,"Nocardia","shimofusensis",""
1,"Halorubrum","distributum",""
1,"Flavobacterium","rakeshii",""
2,"Corynebacterium","confusum",""
1,"Nocardiopsis","tropica",""
3,"Cupriavidus","gilardii",""
3,"Clostridium","sordellii",""
2,"Lactococcus","lactis","hordniae"
1,"Salinibacterium","amurskyense",""
1,"Halorubrum","terrestre",""
3,"Proteus","penneri",""
2,"Facklamia","sourekii",""
1,"Streptococcus","ovis",""
1,"Sphingomonas","soli",""
1,"Bacillus","aminovorans",""
1,"Vagococcus","salmoninarum",""
