"count","don_lib"
66,"Portugal"
101,"Colombia"
19,"Sea of Japan"
24,"Pakistan"
2,"Guatemala"
23,"Panama"
9,"Iran (Islamic Republic of)"
14,"Sri Lanka"
43,"Senegal"
32,"Argentina"
190,"India"
1,"Croatia"
1,"Nepal"
5,"Costa Rica"
1,"Somalia"
303,"United Kingdom of Great Britain and Northern Ireland"
4,"Saudi Arabia"
30,"Kenya"
1,"Armenia"
1,"North Sea"
2,"El Salvador"
1,"Space"
13,"Chad"
42,"Peru"
6,"Yugoslavia"
53,"Iraq"
19,"New Zealand"
14,"Morocco"
18,"Cameroon"
3,"Uganda"
1,"Cuba"
14,"Atlantic Ocean"
1,"Mozambique"
16,"Romania"
54,"Austria"
1,"Niger"
1,"Tonga"
1,"Greenland"
1,"Luxembourg"
1,"Benin"
2,"Tajikistan"
115,"Belgium"
383,"Korea (Republic of)"
6,"Slovenia"
44,"Chile"
1,"Mali"
12,"Baltic Sea"
1,"Zimbabwe"
12,"Burkina Faso"
3,"Africa"
17,"USSR"
49,"Bulgaria"
1,"Samoa"
12,"Bangladesh"
3,"Ukraine"
23,"Algeria"
1,"Serbia"
1,"Vanuatu"
420,"Japan"
34,"Tunisia"
13,"Philippines"
3,"Belarus"
1,"Estonia"
3,"Europe"
9,"Nicaragua"
4,"Dominican Republic"
50,"Israel"
2,"Adriatic Sea"
7,"Uruguay"
53,"Egypt"
58,"Norway"
29,"Madagascar"
89,"Italy"
5,"Central African Republic"
978,"United States of America"
104,"Switzerland"
12,"Hungary"
14,"Côte d'Ivoire"
154,"Sweden"
1,"Albania"
2,"Black Sea"
26,"Nigeria"
156,"Australia"
358,"Germany"
92,"Canada"
3,"Barbados"
17,"Greece"
3,"Ecuador"
57,"Mexico"
146,"Czechia"
82,"Viet Nam"
2741,"France"
5,"Cabo Verde"
2,"Fiji"
3,"CEI"
1,"Palau"
3,"Gambia"
129,"Denmark"
9,"Trinidad and Tobago"
4,"Turkmenistan"
3,"Bolivia (Plurinational State of)"
2,"Syrian Arab Republic"
7,"Ireland"
4,"Singapore"
6,"Kuwait"
110,"Antarctica"
1,"Alboran Sea"
3,"Namibia"
24,"Pacific Ocean"
1,"Macao"
1,"Asia"
168,"Brazil"
13,"Congo (Democratic Republic of the)"
2,"Sudan"
15,"Poland"
3,"South America"
55,"Indonesia"
29,"Jordan"
1,"Uzbekistan"
39,"Finland"
2,"Antarctic Ocean"
35,"Taiwan (Province of China)"
1,"Oman"
7,"Venezuela (Bolivarian Republic of)"
3,"Bahamas"
105,"Malaysia"
1,"Western Greenland Sea"
273,"China"
1,"Gabon"
3,"Arctic"
1,"Georgia"
3,"Tanzania (United Republic of)"
77,"Thailand"
1,"Saint Vincent and the Grenadines"
1,"Afghanistan"
20,"South Africa"
3,"Jamaica"
3,"Lebanon"
8,"Papua New Guinea"
36,"Ghana"
2,"Iceland"
15,"Turkey"
67,"Netherlands"
213,"Spain"
79,"Russian Federation"
1,"Indian Ocean"
